circCubeCube1Timestamp;circCubeCube1XPos;circCubeCube1YPos;circCubeCube1newCorr;circCubeCube1smoothCorr
0;;;0;0
0.4597249;;;0;0
0.917947;;;0;0
1.3751765;;;0;0
1.8333973;;;0;0
2.121;-0.13215;-1.494167;;
2.14;-0.1582583;-1.491628;;
2.141;-0.1582583;-1.491628;;
2.161;-0.1846341;-1.488593;;
2.162;-0.1846341;-1.488593;;
2.183;-0.211272;-1.485047;;
2.184;-0.211272;-1.485047;;
2.184;-0.211272;-1.485047;;
2.204;-0.2360065;-1.481312;;
2.206;-0.236534;-1.481232;;
2.206;-0.2365629;-1.481228;;
2.232;-0.2625417;-1.476845;;
2.233;-0.2625417;-1.476845;;
2.234;-0.2625417;-1.476845;;
2.247;-0.2887196;-1.471947;;
2.248;-0.2891322;-1.47187;;
2.2911171;;;-0.0156009909704353;-0.00780049548521766
2.583;-0.6612835;-1.346324;;
2.584;-0.6614842;-1.346256;;
2.606;-0.6846659;-1.334625;;
2.607;-0.6848636;-1.334526;;
2.627;-0.7080444;-1.322371;;
2.628;-0.7083385;-1.322217;;
2.649;-0.7309919;-1.309826;;
2.65;-0.7312157;-1.309703;;
2.672;-0.7545115;-1.29642;;
2.694;-0.7767958;-1.283192;;
2.695;-0.7770078;-1.283066;;
2.696;-0.7770392;-1.283047;;
2.718;-0.7993129;-1.269288;;
2.718;-0.7993177;-1.269285;;
2.739;-0.8215129;-1.255033;;
2.74;-0.821777;-1.254864;;
2.7498392;;;0.0302047567154893;0.007301882872527
2.739;-0.8215129;-1.255033;;
2.74;-0.821777;-1.254864;;
2.762;-0.8435506;-1.240328;;
2.763;-0.8437305;-1.240208;;
2.784;-0.864984;-1.225477;;
2.806;-0.8856884;-1.210595;;
2.807;-0.8860812;-1.210313;;
2.808;-0.8861471;-1.210266;;
2.829;-0.9071731;-1.194583;;
2.831;-0.9074208;-1.194398;;
2.851;-0.9283704;-1.178185;;
2.852;-0.9286347;-1.17798;;
2.875;-0.9491243;-1.161535;;
2.876;-0.9491243;-1.161535;;
2.897;-0.9686311;-1.145311;;
2.898;-0.9689666;-1.145032;;
2.92;-0.9885659;-1.12815;;
2.922;-0.9889584;-1.127812;;
2.943;-1.008787;-1.110108;;
2.943;-1.009029;-1.109892;;
2.964;-1.027873;-1.09246;;
2.965;-1.028039;-1.092307;;
2.985;-1.04668;-1.074455;;
2.986;-1.046872;-1.074271;;
3.008;-1.065494;-1.055801;;
3.029;-1.083553;-1.037254;;
3.03;-1.083993;-1.036802;;
3.032;-1.083993;-1.036802;;
3.052;-1.101761;-1.017897;;
3.053;-1.101947;-1.0177;;
3.054;-1.101975;-1.01767;;
3.074;-1.119512;-0.9983449;;
3.075;-1.119512;-0.9983449;;
3.097;-1.136767;-0.9786481;;
3.098;-1.136925;-0.9784682;;
3.099;-1.136964;-0.9784238;;
3.12;-1.154025;-0.9582416;;
3.12;-1.154025;-0.9582416;;
3.141;-1.170134;-0.9384944;;
3.142;-1.17045;-0.9381061;;
3.143;-1.17052;-0.9380203;;
3.144;-1.17052;-0.9380203;;
3.144;-1.17052;-0.9380203;;
3.164;-1.187216;-0.9167928;;
3.165;-1.187368;-0.9165993;;
3.165;-1.187423;-0.9165297;;
3.166;-1.187423;-0.9165297;;
3.167;-1.187423;-0.9165297;;
3.186;-1.202664;-0.8964322;;
3.187;-1.202817;-0.8962306;;
3.187;-1.202842;-0.8961968;;
3.2075593;;;0.039769888927938;0.0349873228217137
3.187;-1.202817;-0.8962306;;
3.187;-1.202842;-0.8961968;;
3.208;-1.218261;-0.8751181;;
3.209;-1.218269;-0.8751066;;
3.21;-1.218402;-0.8749255;;
3.21;-1.218425;-0.8748944;;
3.211;-1.21844;-0.8748738;;
3.231;-1.233649;-0.8532885;;
3.232;-1.233798;-0.8530769;;
3.259;-1.248373;-0.8315961;;
3.26;-1.248532;-0.8313614;;
3.26;-1.248606;-0.8312529;;
3.261;-1.248641;-0.8312014;;
3.263;-1.248645;-0.831195;;
3.275;-1.262369;-0.8101771;;
3.277;-1.263044;-0.8091424;;
3.278;-1.263135;-0.8090041;;
3.279;-1.263195;-0.8089112;;
3.299;-1.277508;-0.7861136;;
3.3;-1.277508;-0.7861136;;
3.301;-1.277508;-0.7861136;;
3.301;-1.277508;-0.7861136;;
3.321;-1.290653;-0.7643336;;
3.322;-1.29077;-0.764141;;
3.323;-1.290803;-0.7640851;;
3.323;-1.290817;-0.7640623;;
3.324;-1.290817;-0.7640623;;
3.343;-1.303972;-0.7413831;;
3.344;-1.304113;-0.7411388;;
3.365;-1.316391;-0.7190957;;
3.366;-1.316581;-0.7187551;;
3.367;-1.316662;-0.7186105;;
3.368;-1.316675;-0.7185861;;
3.369;-1.316677;-0.7185824;;
3.388;-1.3293;-0.6949474;;
3.389;-1.329466;-0.6946359;;
3.39;-1.329466;-0.6946359;;
3.411;-1.341084;-0.6719266;;
3.411;-1.341119;-0.6718588;;
3.412;-1.341206;-0.6716892;;
3.413;-1.34122;-0.6716617;;
3.413;-1.341226;-0.6716499;;
3.433;-1.352719;-0.6481909;;
3.433;-1.352719;-0.6481909;;
3.434;-1.352719;-0.6481909;;
3.434;-1.352719;-0.6481909;;
3.436;-1.352719;-0.6481909;;
3.454;-1.363622;-0.6249139;;
3.455;-1.363842;-0.6244439;;
3.477;-1.374475;-0.6006743;;
3.478;-1.374575;-0.600451;;
3.479;-1.374592;-0.6004139;;
3.48;-1.374594;-0.6004084;;
3.481;-1.374595;-0.6004066;;
3.501;-1.38505;-0.5758789;;
3.502;-1.38505;-0.5758789;;
3.503;-1.38505;-0.5758789;;
3.522;-1.394928;-0.5515124;;
3.523;-1.39503;-0.5512607;;
3.524;-1.395053;-0.5512047;;
3.524;-1.395057;-0.5511951;;
3.525;-1.395059;-0.5511889;;
3.544;-1.404287;-0.527229;;
3.545;-1.404381;-0.526985;;
3.545;-1.404397;-0.5269436;;
3.546;-1.404404;-0.5269234;;
3.568;-1.413346;-0.5024405;;
3.569;-1.413448;-0.5021613;;
3.57;-1.413448;-0.5021613;;
3.589;-1.422;-0.4774066;;
3.591;-1.422;-0.4774066;;
3.591;-1.422;-0.4774066;;
3.592;-1.422;-0.4774066;;
3.593;-1.422;-0.4774066;;
3.611;-1.430172;-0.452337;;
3.612;-1.430172;-0.452337;;
3.613;-1.430172;-0.452337;;
3.634;-1.437804;-0.4274557;;
3.635;-1.437804;-0.4274557;;
3.636;-1.437804;-0.4274557;;
3.636;-1.437804;-0.4274557;;
3.637;-1.437804;-0.4274557;;
3.65448;;;-0.731744320137711;-0.345987215604887
3.635;-1.437804;-0.4274557;;
3.636;-1.437804;-0.4274557;;
3.636;-1.437804;-0.4274557;;
3.637;-1.437804;-0.4274557;;
3.656;-1.445185;-0.4017968;;
3.657;-1.445092;-0.4021187;;
3.658;-1.445097;-0.4021033;;
3.658;-1.44514;-0.4019534;;
3.678;-1.453329;-0.3712436;;
3.679;-1.453406;-0.3709551;;
