Timestamp;Name;smoothCorrel;speed;task;selected;correlationToIntendedObject
98.8384058;1;0;45;0;;
98.8384058;2;0;45;0;;
98.8384058;3;0;45;0;;
98.8384058;4;0;45;0;;
98.8384058;5;0;45;0;;
99.1304751;1;-0.1044615;45;1;;1
99.1304751;2;0.2989204;45;1;;0.0146262540706406
99.1304751;3;0.08735785;45;1;;-0.989221978229985
99.1304751;4;-0.2851225;45;1;;-0.0207729443768828
99.1304751;5;-0.1075072;45;1;;0.981511909728074
99.432847;1;-0.09901029;45;1;;1
99.432847;2;-0.07208868;45;1;;0.00203116581668999
99.432847;3;0.09171271;45;1;;-0.998843856301837
99.432847;4;0.07178464;45;1;;-0.00824394025208458
99.432847;5;0.1931694;45;1;;0.0971591978815008
99.7224259;1;0.05826403;45;1;;1
99.7224259;2;0.01903646;45;1;;0.00114906328557191
99.7224259;3;-0.05743494;45;1;;-0.998870851761252
99.7224259;4;-0.07432833;45;1;;-0.0839687919216812
99.7224259;5;0.07179426;45;1;;0.00357012252480277
100.013308;1;0.3015518;45;1;;1
100.013308;2;0.0241755;45;1;;0.00151872361799765
100.013308;3;-0.2994437;45;1;;-0.990934110163047
100.013308;4;-0.3198621;45;1;;-0.995528033308402
100.013308;5;0.0689392;45;1;;0.00135489511005082
100.3033412;1;0.5252318;45;1;;1
100.3033412;2;-0.1954842;45;1;;0.00496286674519741
100.3033412;3;-0.445865;45;1;;-0.0377432943437008
100.3033412;4;-0.3466093;45;1;;-0.998889252020284
100.3033412;5;0.1985289;45;1;;0.00139050311285094
100.5939234;1;0.7277794;45;1;1;1
100.5939234;2;0.1103316;45;1;1;0.607029311772264
100.5939234;3;-0.54242;45;1;1;-0.00846337540739983
100.5939234;4;-0.7200642;45;1;1;-0.998442379921427
100.5939234;5;0.06617238;45;1;1;0.00271016039319871
