Timestamp;SelectionTime;IntendedDigit;EnteredDigit;correct;counterThreshold
20.461868;9.7417378;4;3;False;20
24.9971625;4.0419791;5;5;True;20
29.5432893;4.0533132;9;9;True;20
37.0994321;7.063329;9;9;True;20
50.8435715;7.1104549;3;3;True;20
58.0598298;6.7219401;4;4;True;20
68.6236833;10.0700366;8;-1;False;20
78.6123106;9.5033336;8;8;True;20
213.4550625;7.8809168;5;5;True;20
215.7916921;1.8398051;5;5;True;20
219.5446786;3.2596709;1;1;True;20
229.5418013;9.5038103;0;4;False;20
258.8007652;4.3014386;4;4;True;20
263.9438231;4.6657885;8;3;False;20
268.512973;4.0738325;5;4;False;20
277.5169162;8.5096273;1;1;True;20
289.5029954;6.3079799;6;4;False;20
295.2657647;5.2699588;5;5;True;20
303.0404393;7.2813623;9;4;False;20
311.8533749;8.319623;8;3;False;20
339.7124965;4.8679446;7;3;False;20
347.6957434;7.4914389;2;2;True;20
351.4402005;3.2491395;3;3;True;20
355.3816913;3.4491815;5;5;True;20
370.907001;10.159525;9;-1;False;20
377.5104807;6.1201945;1;1;True;20
382.7012928;4.6969988;3;3;True;20
