timestamp;radius;size;depth
3.084182;0.5;0.9;16
80.5727624;1.5;0.3;2
86.1355191;0.5;0.65;16
95.964337;1.5;0.9;16
103.6727864;2.5;0.65;2
105.6044104;2.5;0.9;6
111.0217818;2.5;0.3;16
113.2582154;1.5;0.3;6
116.9419873;0.5;0.9;2
119.9269058;0.5;0.65;2
133.8984831;1.5;0.9;2
141.59089;1.5;0.9;6
145.1568498;2.5;0.9;16
147.9156685;1.5;0.65;16
151.8235349;2.5;0.3;6
154.4194215;2.5;0.65;16
159.5776261;1.5;0.65;2
166.3475276;1.5;0.65;6
173.2037179;0.5;0.9;6
181.0580539;0.5;0.3;6
188.0496016;0.5;0.65;6
199.2197339;0.5;0.3;16
222.7769016;1.5;0.3;16
231.1314543;0.5;0.3;2
238.7160936;2.5;0.3;2
245.9106791;2.5;0.65;6
249.8180447;2.5;0.9;2
