Gameobject;Timestamp;rx;ry;w;corrWindow;corrFreq;corrMethod;eye
circularCube8;2.5427273;-0.860956012005184;-0.323205520834078;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;2.8329934;0.672083411201426;0.934420641087144;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;2.8329934;-0.621060056445883;-0.934810237766442;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;2.8329934;0.580811016005231;-0.933610930383074;300;900;0.3;Pearson;BothEyes
circularCube4;2.8329934;0.610555511127736;-0.91794050649211;300;900;0.3;Pearson;BothEyes
circularCube5;2.8329934;-0.601987747505803;-0.926049130496505;300;900;0.3;Pearson;BothEyes
circularCube6;2.8329934;0.676266952649349;-0.928927432191408;300;900;0.3;Pearson;BothEyes
circularCube7;2.8329934;0.581360744701435;0.928504584768394;300;900;0.3;Pearson;BothEyes
circularCube8;2.8329934;-0.621686180907758;0.928807633207451;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;3.1237612;0.901693020996702;-0.0472420525038418;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;3.1237612;-0.915068182443116;0.0488984940382835;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;3.1237612;0.936343345618721;0.0463184437885113;300;900;0.3;Pearson;BothEyes
circularCube4;3.1237612;0.919422316192787;-0.0258616485274156;300;900;0.3;Pearson;BothEyes
circularCube5;3.1237612;-0.919792852503441;0.0540541028969813;300;900;0.3;Pearson;BothEyes
circularCube6;3.1237612;0.897026760415595;0.0554956157396272;300;900;0.3;Pearson;BothEyes
circularCube7;3.1237612;0.93247866525668;-0.0549208132622643;300;900;0.3;Pearson;BothEyes
circularCube8;3.1237612;-0.910943532941994;-0.0564780547384019;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;3.4190398;-0.883871047147621;-0.416367581904067;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;3.4190398;0.881052537613771;0.372254505859925;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;3.4190398;-0.243008903903695;0.430185618335945;300;900;0.3;Pearson;BothEyes
circularCube4;3.4190398;-0.87887179185597;-0.488858673684952;300;900;0.3;Pearson;BothEyes
circularCube5;3.4190398;0.875612299945663;0.433568520774469;300;900;0.3;Pearson;BothEyes
circularCube6;3.4190398;-0.885143791349383;0.405570711707853;300;900;0.3;Pearson;BothEyes
circularCube7;3.4190398;-0.411716018550555;-0.419456086609107;300;900;0.3;Pearson;BothEyes
circularCube8;3.4190398;0.882138949556936;-0.362397011727249;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;3.7158229;-0.697146158089075;0.404655309549581;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;3.7158229;0.687368163616891;-0.256509762415835;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;3.7158229;0.734966123215185;-0.416490919290138;300;900;0.3;Pearson;BothEyes
circularCube4;3.7158229;-0.678400472239727;0.439687111244786;300;900;0.3;Pearson;BothEyes
circularCube5;3.7158229;0.650733386650442;-0.421469041195494;300;900;0.3;Pearson;BothEyes
circularCube6;3.7158229;-0.694042381399972;-0.401368656106576;300;900;0.3;Pearson;BothEyes
circularCube7;3.7158229;0.734620899587401;0.413159820765321;300;900;0.3;Pearson;BothEyes
circularCube8;3.7158229;0.68394572641559;0.26922841176018;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;4.0055877;0.0188684028554782;0.839963239538655;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;4.0055877;-0.00144415846608486;0.754289548241798;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;4.0055877;-0.0585079313689588;-0.831283517715754;300;900;0.3;Pearson;BothEyes
circularCube4;4.0055877;-0.0197924566702249;0.819822537511827;300;900;0.3;Pearson;BothEyes
circularCube5;4.0055877;0.119007647430553;-0.8218492438848;300;900;0.3;Pearson;BothEyes
circularCube6;4.0055877;0.0262760525343266;-0.834116310032755;300;900;0.3;Pearson;BothEyes
circularCube7;4.0055877;-0.0660630680551803;0.826259601414478;300;900;0.3;Pearson;BothEyes
circularCube8;4.0055877;-0.00913874442305712;-0.74647456765151;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;4.2963552;0.981395741420897;-0.749141900198453;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;4.2963552;-0.978745611376576;-0.856782153424303;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;4.2963552;-0.98454387310864;0.801363233908759;300;900;0.3;Pearson;BothEyes
circularCube4;4.2963552;0.97306363982331;-0.82597274880817;300;900;0.3;Pearson;BothEyes
circularCube5;4.2963552;0.796060082380496;0.813170318573309;300;900;0.3;Pearson;BothEyes
circularCube6;4.2963552;0.981087984059184;0.749528815959577;300;900;0.3;Pearson;BothEyes
circularCube7;4.2963552;-0.984374153807342;-0.800195378062994;300;900;0.3;Pearson;BothEyes
circularCube8;4.2963552;-0.978366313710635;0.857119930262407;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;4.5981515;0.871672629821111;-0.582824868406193;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;4.5981515;-0.867403486328922;-0.902894890632926;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;4.5981515;-0.87559435311492;0.899517836788243;300;900;0.3;Pearson;BothEyes
circularCube4;4.5981515;0.851921472819077;-0.902491319781787;300;900;0.3;Pearson;BothEyes
circularCube5;4.5981515;0.885209941621191;0.901545468382628;300;900;0.3;Pearson;BothEyes
circularCube6;4.5981515;0.871464373191237;0.663854666935473;300;900;0.3;Pearson;BothEyes
circularCube7;4.5981515;-0.87545158997281;-0.899420224608511;300;900;0.3;Pearson;BothEyes
circularCube8;4.5981515;-0.867185808504501;0.902828985230386;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;4.8994465;0.472466633557211;0.924639926785688;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;4.8994465;-0.491064387504483;-0.928892549395363;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;4.8994465;-0.458412030218767;0.924197191378943;300;900;0.3;Pearson;BothEyes
circularCube4;4.8994465;0.63281919989485;-0.928338251612245;300;900;0.3;Pearson;BothEyes
circularCube5;4.8994465;0.433768866212369;0.927706338829717;300;900;0.3;Pearson;BothEyes
circularCube6;4.8994465;0.475786099867829;-0.924574323360116;300;900;0.3;Pearson;BothEyes
circularCube7;4.8994465;-0.46210349070471;-0.924593884580382;300;900;0.3;Pearson;BothEyes
circularCube8;4.8994465;-0.493625845430411;0.929085820023221;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;5.2007412;-0.61998715855747;-0.311381204180364;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;5.2007412;0.640123070708079;0.277741179340853;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;5.2007412;0.609872571075716;-0.14005607367732;300;900;0.3;Pearson;BothEyes
circularCube4;5.2007412;0.487233907459891;0.262747326349161;300;900;0.3;Pearson;BothEyes
circularCube5;5.2007412;-0.599255359841197;-0.244256046163006;300;900;0.3;Pearson;BothEyes
circularCube6;5.2007412;-0.623170128381164;0.311906892239399;300;900;0.3;Pearson;BothEyes
circularCube7;5.2007412;0.613037674054739;0.145910589260699;300;900;0.3;Pearson;BothEyes
circularCube8;5.2007412;0.64298190307653;-0.277525668531239;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;5.502538;0.671292638098932;0.233030702403923;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;5.502538;-0.599790444200423;-0.257530118911711;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;5.502538;-0.687991092987158;0.109990566585771;300;900;0.3;Pearson;BothEyes
circularCube4;5.502538;-0.740739428022412;-0.274300338342557;300;900;0.3;Pearson;BothEyes
circularCube5;5.502538;0.710545410343413;0.296218055827053;300;900;0.3;Pearson;BothEyes
circularCube6;5.502538;0.679657841354091;-0.225084164146367;300;900;0.3;Pearson;BothEyes
circularCube7;5.502538;-0.695946175690837;-0.15845609790115;300;900;0.3;Pearson;BothEyes
circularCube8;5.502538;-0.611951153908144;0.249816270462358;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;5.8038332;-0.654359300386875;-0.457881521593033;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;5.8038332;0.157964740497362;0.443240025420357;300;900;0.3;Pearson;BothEyes
