timestamp;radius;velocity;walking
10.1709173;2.5;0.39;True
26.2985859;0.5;1.17;True
42.4076931;0.5;0.39;True
58.4900629;1.5;1.96;True
69.5949848;1.5;0.39;True
85.712113;1.5;1.96;True
101.2953294;1.5;1.17;True
111.7605091;0.5;0.39;True
127.8771407;0.5;1.96;True
136.7370834;2.5;1.17;True
152.8984074;1.5;0.39;True
169.0156483;2.5;1.96;True
185.2035671;0.5;1.96;True
201.3864766;1.5;1.96;True
216.9246835;0.5;1.96;True
222.3641051;2.5;0.39;True
238.5403694;0.5;0.39;True
254.6791752;2.5;1.96;True
267.0214065;1.5;1.17;True
283.150852;2.5;1.96;True
293.4827448;1.5;0.39;True
309.6089998;1.5;1.17;True
325.7528019;2.5;0.39;True
341.9176599;0.5;1.17;True
355.4425189;2.5;1.17;True
371.5727843;2.5;1.17;True
387.7922986;0.5;1.17;True
