timestamp;selectedObject;intendedObject;1;2;3;4;5;6;7;8;9;10
76.7203709;1;1;15;0;0;0;0;1;0;0;5;0
101.2551415;5;5;0;0;15;0;2;0;0;0;0;0
110.6808289;13;13;4;0;0;0;0;0;14;0;0;0
127.5022791;15;8;0;3;0;0;2;0;0;14;0;0
131.5571147;8;8;0;0;0;0;14;0;0;0;0;0
143.8429482;18;18;0;0;0;0;0;0;0;14;0;0
168.3694878;22;7;0;11;3;1;5;1;3;0;0;14
175.9281863;7;7;0;0;0;14;0;0;0;0;0;5
181.8475033;14;16;0;0;0;0;14;0;0;0;0;0
194.2767175;19;16;6;2;0;0;11;16;0;0;6;2
198.8328912;16;16;0;2;0;0;17;0;0;5;0;0
223.0912143;3;3;17;0;0;0;3;1;0;8;0;0
250.4160484;4;-1;17;0;2;2;0;0;6;4;0;0
