timestamp;radius;size;depth
2.725748;0.5;0.9;6
10.1504953;0.5;0.65;2
11.7477423;1.5;0.65;6
14.0042772;0.5;0.3;6
18.5283077;0.5;0.9;16
21.1417573;2.5;0.9;6
23.0182475;0.5;0.3;16
24.8611566;1.5;0.3;16
26.9838018;1.5;0.65;2
29.0277364;2.5;0.3;2
31.295266;1.5;0.9;2
33.7528201;1.5;0.3;2
35.5957205;1.5;0.3;6
37.3383552;2.5;0.65;6
39.1702256;0.5;0.3;2
41.4598139;2.5;0.65;2
43.2921864;0.5;0.65;16
45.4694768;2.5;0.3;6
47.2121105;2.5;0.65;16
49.3904029;1.5;0.65;16
51.7476799;0.5;0.9;2
53.4451938;1.5;0.9;6
55.1652676;1.5;0.9;16
57.1423707;2.5;0.9;2
59.1306581;0.5;0.65;6
60.7950844;2.5;0.9;16
63.0290243;2.5;0.3;16
