timestamp;selectionTime;selectedObject;selectedObjectSizeDegX;selectedObjectSizeDegY;intendedObject;intendedObjectSizeDegX;intendedObjectSizeDegY;correct?;trajectoryResemblanceX;trajectoryResemblanceY;distanceToIntendedObjDeg;trajectoryDiameterDeg;trajectoryCenterDeg;currentPosDeg;degPerSec;trajectoryExceedsFOV;counterThreshold;correlationThreshold;correlationAverageWindow;correlationFrequency;correlationWindow
21.4235581;12.4641476;2;12.06497;10.39236;2;12.06497;10.39236;True;1;1;0;14.93358;(1.0, 7.2);(3.7, 14.4);51;False;20;0.6;900;0.08;300
36.3923757;11.9773619;12;32.95824;35.7273;12;32.95824;35.7273;True;1;1;0;45.67284;(-2.9, -11.4);(17.0, -23.9);22;True;20;0.6;900;0.08;300
57.7146058;18.3317762;4;18.11696;16.74355;4;18.11696;16.74355;True;1;1;0;32.70877;(11.6, 28.5);(-2.1, 19.1);76;True;20;0.6;900;0.08;300
65.5880455;4.8699518;14;9.887185;9.976473;14;9.887185;9.976473;True;1;1;0;20.26547;(-12.3, 2.1);(-18.6, 10.8);88;False;20;0.6;900;0.08;300
77.6646736;9.0826661;18;11.2815;8.417102;18;11.2815;8.417102;True;1;1;0;21.10633;(-16.8, 12.5);(-25.9, 7.4);50;True;20;0.6;900;0.08;300
83.8536519;3.1975035;10;18.11601;17.87574;10;18.11601;17.87574;True;1;1;0;35.47141;(-1.9, -10.4);(-14.3, -23.3);81;False;20;0.6;900;0.08;300
94.4415572;7.5859212;19;11.5443;15.99127;19;11.5443;15.99127;True;1;1;0;12.88563;(-12.9, -14.3);(-6.5, -16.0);71;False;20;0.6;900;0.08;300
116.3786259;18.9446408;5;17.56175;18.04892;5;17.56175;18.04892;True;1;1;0;32.70877;(11.6, 28.5);(26.3, 23.5);76;True;20;0.6;900;0.08;300
122.2496647;2.8670879;17;8.122222;8.789498;20;6.268196;8.544418;False;-0.9999687;-0.9999977;2.832033;16.07769;(3.0, -12.4);(-1.0, -5.1);82;False;20;0.6;900;0.08;300
127.7081118;2.4725438;20;7.628147;7.650029;20;7.628147;7.650029;True;1;1;0;25.97161;(-4.9, -7.7);(-17.6, -6.5);89;False;20;0.6;900;0.08;300
137.0994684;6.4019444;15;26.63446;27.13182;15;26.63446;27.13182;True;1;1;0;45.25399;(16.5, 6.0);(-5.3, -7.5);53;True;20;0.6;900;0.08;300
146.2512167;6.1482987;9;15.34022;14.06018;9;15.34022;14.06018;True;1;1;0;35.47141;(-1.9, -10.4);(4.2, 7.8);81;False;20;0.6;900;0.08;300
155.2324973;5.992861;29;9.562135;8.73438;29;9.562135;8.73438;True;1;1;0;7.583702;(13.2, 5.2);(9.6, 3.6);53;False;20;0.6;900;0.08;300
