timestamp;radius;size;depth
5.9175728;2.5;0.9;16
40.3810211;1.5;0.9;2
45.2623699;2.5;0.3;6
48.4791575;2.5;0.9;6
52.1085079;1.5;0.3;16
55.4365826;2.5;0.3;16
58.2292772;1.5;0.9;6
66.8851024;0.5;0.65;6
71.1736606;2.5;0.65;16
77.6634254;1.5;0.65;6
82.1204213;2.5;0.65;2
83.884466;1.5;0.65;16
95.7344985;0.5;0.9;16
114.1188888;1.5;0.3;6
117.3808027;2.5;0.65;6
120.3514561;0.5;0.9;2
131.8555948;0.5;0.65;2
136.7612552;0.5;0.65;16
139.8191424;0.5;0.3;16
149.0451107;2.5;0.9;2
152.2957165;1.5;0.65;2
156.484301;0.5;0.9;6
162.270113;1.5;0.9;16
164.7832729;2.5;0.3;2
168.0223959;0.5;0.3;2
175.7533721;0.5;0.3;6
186.8993689;1.5;0.3;2
