timestamp;radius;size;depth
4.6402907;1.5;0.65;16
51.8498658;1.5;0.9;16
54.9886978;0.5;0.9;16
61.4222385;1.5;0.3;2
64.6282307;2.5;0.9;6
67.4311555;2.5;0.65;16
71.8989894;2.5;0.3;2
73.9995623;1.5;0.3;6
76.0885957;2.5;0.3;6
79.3497412;0.5;0.65;6
81.6282767;2.5;0.9;16
83.7619453;1.5;0.65;6
87.8833628;0.5;0.65;2
92.3291381;2.5;0.9;2
93.8596926;0.5;0.3;16
97.8136659;1.5;0.65;2
102.8404805;0.5;0.3;2
108.4920535;0.5;0.3;6
111.976784;1.5;0.9;2
114.2442895;2.5;0.65;2
116.277676;1.5;0.9;6
118.2102948;0.5;0.65;16
124.9115542;0.5;0.9;6
134.9310936;0.5;0.9;2
136.6175598;2.5;0.65;6
139.5994584;1.5;0.3;16
141.7000223;2.5;0.3;16
