timestamp;radius;size;depth
9.4717751;1.5;0.3;2
19.8453185;2.5;0.65;2
24.2800852;2.5;0.9;2
28.5459868;1.5;0.65;6
33.0584606;2.5;0.3;16
35.2588808;2.5;0.65;16
37.9395034;0.5;0.3;6
42.2850338;0.5;0.3;16
43.9489557;0.5;0.65;6
47.9365364;1.5;0.9;16
49.9137827;2.5;0.9;16
52.2845729;0.5;0.9;6
55.1416537;1.5;0.65;16
57.1299297;1.5;0.3;6
59.3538393;2.5;0.3;6
61.3736991;2.5;0.9;6
63.7874304;0.5;0.3;2
65.8308515;2.5;0.65;6
68.4558174;1.5;0.65;2
72.2649238;0.5;0.9;2
74.4316726;2.5;0.3;2
77.9284513;0.5;0.9;16
78.9777345;0.5;0.65;16
81.7485868;1.5;0.3;16
84.1158686;1.5;0.9;2
86.4064636;0.5;0.65;2
87.4667763;1.5;0.9;6
