timestamp;radius;size;depth
34.24168;1.5;0.9;6
63.1909383;0.5;0.3;6
71.5795016;1.5;0.3;6
75.6007973;0.5;0.65;6
98.7667176;1.5;0.9;2
106.6751804;2.5;0.65;16
111.2104589;1.5;0.65;2
116.9296641;0.5;0.3;16
128.6911698;1.5;0.65;16
135.0020797;2.5;0.9;16
144.3740429;2.5;0.3;2
153.4953342;0.5;0.9;6
160.8606705;2.5;0.9;2
165.7867386;2.5;0.3;16
169.8856117;2.5;0.65;6
171.6392642;0.5;0.3;2
178.5085033;1.5;0.9;16
181.7932168;1.5;0.3;16
183.2336352;0.5;0.65;16
201.3627166;2.5;0.9;6
204.7023361;0.5;0.65;2
211.0356618;1.5;0.65;6
213.3142357;2.5;0.3;6
215.7382449;0.5;0.9;2
218.1391452;0.5;0.9;16
223.9257883;1.5;0.3;2
233.0291756;2.5;0.65;2
