circularCube4Timestamp;circularCube4XPos;circularCube4YPos;circularCube4newCorr;circularCube4smoothCorr
0;;;0;0
0.4050531;;;0;0
0.7123527;;;0;0
1.0141374;;;0;0
1.3154214;;;0;0
1.6172056;;;0;0
1.918489;;;0;0
2.2197725;;;0;0
2.291;1.438486;1.389517;;
2.311;1.480537;1.344606;;
2.333;1.497747;1.325423;;
2.335;1.49794;1.325207;;
2.355;1.520579;1.299158;;
2.356;1.521056;1.298608;;
2.377;1.543228;1.272177;;
2.378;1.543437;1.271927;;
2.379;1.543481;1.271874;;
2.381;1.543489;1.271865;;
2.399;1.564498;1.245907;;
2.4;1.565486;1.244686;;
2.401;1.565629;1.24451;;
2.402;1.565649;1.244485;;
2.422;1.587038;1.217084;;
2.424;1.58719;1.21689;;
2.425;1.587227;1.216842;;
2.426;1.587296;1.216754;;
2.445;1.598004;1.202655;;
2.446;1.598119;1.202504;;
2.448;1.598141;1.202475;;
2.448;1.598144;1.20247;;
2.47;1.63417;1.153035;;
2.47;1.63417;1.153035;;
2.471;1.63417;1.153035;;
2.472;1.63417;1.153035;;
2.49;1.649039;1.131667;;
2.491;1.649039;1.131667;;
2.491;1.649039;1.131667;;
2.512;1.66837;1.102963;;
2.513;1.66856;1.102681;;
2.514;1.668588;1.102639;;
2.515;1.668595;1.102629;;
2.5215577;;;0.0315720750673097;0.0105240250224366
2.512;1.66837;1.102963;;
2.513;1.66856;1.102681;;
2.514;1.668588;1.102639;;
2.515;1.668595;1.102629;;
2.534;1.68749;1.073481;;
2.535;1.687683;1.073182;;
2.536;1.687732;1.073107;;
2.537;1.687741;1.073094;;
2.558;1.70637;1.043217;;
2.558;1.70637;1.043217;;
2.559;1.70637;1.043217;;
2.56;1.70637;1.043217;;
2.58;1.723845;1.014065;;
2.589;1.724268;1.013361;;
2.591;1.724278;1.013344;;
2.591;1.730222;1.003126;;
2.601;1.733192;0.9980202;;
2.602;1.733266;0.9978924;;
2.603;1.733266;0.9978924;;
2.604;1.733266;0.9978924;;
2.628;1.762888;0.9445566;;
2.629;1.763139;0.9441053;;
2.63;1.763179;0.9440324;;
2.63;1.763196;0.9440013;;
2.649;1.775342;0.9209565;;
2.65;1.775342;0.9209565;;
2.651;1.775342;0.9209565;;
2.651;1.775342;0.9209565;;
2.672;1.791154;0.889814;;
2.672;1.791154;0.889814;;
2.673;1.791154;0.889814;;
2.674;1.791154;0.889814;;
2.694;1.806229;0.8587909;;
2.695;1.806385;0.8584708;;
2.696;1.806408;0.8584229;;
2.697;1.806416;0.8584071;;
2.717;1.821249;0.8264688;;
2.717;1.821249;0.8264688;;
2.718;1.821249;0.8264688;;
2.719;1.821249;0.8264688;;
2.737;1.835422;0.794497;;
2.738;1.835422;0.794497;;
2.739;1.835422;0.794497;;
2.739;1.835422;0.794497;;
2.761;1.842365;0.778262;;
2.761;1.842365;0.778262;;
2.763;1.84908;0.76217;;
2.78;1.865655;0.7206473;;
2.781;1.865655;0.7206473;;
2.781;1.865655;0.7206473;;
2.782;1.865655;0.7206473;;
2.803;1.874704;0.6967685;;
2.804;1.874704;0.6967685;;
2.804;1.874704;0.6967685;;
2.8233426;;;0.131225271080857;0.054265782049389
2.825;1.886522;0.6640941;;
2.826;1.886621;0.6638203;;
2.828;1.886654;0.6637299;;
2.829;1.88666;0.6637121;;
2.83;1.886662;0.6637055;;
2.847;1.898083;0.6303011;;
2.848;1.898083;0.6303011;;
2.848;1.898083;0.6303011;;
2.849;1.898083;0.6303011;;
2.868;1.90867;0.597464;;
2.869;1.908785;0.5971088;;
2.87;1.908802;0.5970545;;
2.871;1.908807;0.5970403;;
2.944;1.939639;0.4876021;;
2.947;1.941222;0.4812801;;
2.947;1.941306;0.4809444;;
2.949;1.941758;0.4791372;;
2.949;1.941795;0.4789893;;
2.95;1.941817;0.4789011;;
2.951;1.941817;0.4789011;;
2.951;1.941817;0.4789011;;
2.952;1.941817;0.4789011;;
2.953;1.941817;0.4789011;;
2.953;1.941817;0.4789011;;
2.954;1.941817;0.4789011;;
2.955;1.941817;0.4789011;;
2.955;1.941817;0.4789011;;
2.969;1.949824;0.4451558;;
2.97;1.949939;0.4446746;;
2.97;1.949958;0.4445936;;
2.972;1.949968;0.4445508;;
2.992;1.953819;0.4273055;;
2.992;1.953819;0.4273055;;
2.993;1.95749;0.4101637;;
2.994;1.95749;0.4101637;;
3.014;1.964653;0.3743035;;
3.015;1.964767;0.373736;;
3.016;1.964809;0.3735238;;
3.037;1.970528;0.3420486;;
3.04;1.970642;0.3414197;;
3.04;1.970651;0.3413711;;
3.062;1.976215;0.3074834;;
3.064;1.976314;0.3068808;;
3.065;1.976335;0.3067534;;
3.066;1.976339;0.3067318;;
3.067;1.976339;0.3067281;;
3.092;1.984807;0.245972;;
3.094;1.984859;0.2455993;;
3.095;1.984876;0.2454757;;
3.097;1.984889;0.2453863;;
3.116;1.987808;0.2204576;;
3.118;1.987885;0.2198036;;
3.12;1.987885;0.2198036;;
3.121;1.987885;0.2198036;;
3.121;1.987885;0.2198036;;
3.123;1.987885;0.2198036;;
3.1251271;;;0.610151543279486;0.257649629809218
3.116;1.987808;0.2204576;;
3.118;1.987885;0.2198036;;
3.12;1.987885;0.2198036;;
3.121;1.987885;0.2198036;;
3.121;1.987885;0.2198036;;
3.123;1.987885;0.2198036;;
3.138;1.989767;0.2020466;;
3.14;1.990793;0.1914892;;
3.141;1.991077;0.1885671;;
3.143;1.99142;0.1850408;;
3.163;1.994837;0.1435398;;
3.164;1.994873;0.1431057;;
3.165;1.994878;0.1430471;;
3.166;1.994879;0.1430352;;
3.186;1.996698;0.1148311;;
3.187;1.996721;0.1144784;;
3.187;1.996721;0.1144784;;
3.188;1.996721;0.1144784;;
3.209;1.998398;0.07993978;;
3.21;1.998414;0.07960556;;
3.211;1.998417;0.07954346;;
3.212;1.998418;0.07952932;;
3.231;1.999506;0.04445396;;
3.232;1.999506;0.04445396;;
3.233;1.999506;0.04445396;;
3.233;1.999506;0.04445396;;
3.253;1.999992;0.003280889;;
3.254;1.999998;0.002770049;;
3.255;1.999998;0.002770049;;
3.255;1.999998;0.002770049;;
3.274;1.999834;-0.02573945;;
3.275;1.999834;-0.02573945;;
3.276;1.999834;-0.02573945;;
3.276;1.999834;-0.02573945;;
3.298;1.999073;-0.06089406;;
3.298;1.999073;-0.06089406;;
3.299;1.999073;-0.06089406;;
3.3;1.999073;-0.06089406;;
3.32;1.997699;-0.09582085;;
3.321;1.997685;-0.09618461;;
3.322;1.997683;-0.09623586;;
3.323;1.997683;-0.09624714;;
3.343;1.995731;-0.1305534;;
3.344;1.995711;-0.1308944;;
3.345;1.995707;-0.1309657;;
3.345;1.995707;-0.1309778;;
3.365;1.993133;-0.1655416;;
3.366;1.993101;-0.1659747;;
3.366;1.993101;-0.1659747;;
3.367;1.993101;-0.1659747;;
3.387;1.991561;-0.1835333;;
3.396;1.989901;-0.2007123;;
3.397;1.989867;-0.2010632;;
3.397;1.989852;-0.2012141;;
3.409;1.985041;-0.2441543;;
3.41;1.985041;-0.2441543;;
3.411;1.985041;-0.2441543;;
3.412;1.985041;-0.2441543;;
3.4158832;;;-0.384632392821897;0.118914807179482
3.409;1.985041;-0.2441543;;
3.41;1.985041;-0.2441543;;
3.411;1.985041;-0.2441543;;
3.412;1.985041;-0.2441543;;
3.432;1.981393;-0.2721631;;
3.433;1.981355;-0.27245;;
3.434;1.981349;-0.2725003;;
3.435;1.981347;-0.272511;;
3.454;1.97576;-0.3104416;;
3.455;1.97576;-0.3104416;;
3.456;1.97576;-0.3104416;;
3.457;1.97576;-0.3104416;;
3.476;1.970928;-0.3397518;;
3.477;1.970865;-0.3401324;;
3.478;1.970865;-0.3401324;;
3.479;1.970865;-0.3401324;;
3.499;1.964511;-0.3750958;;
3.499;1.964511;-0.3750958;;
3.5;1.964511;-0.3750958;;
3.501;1.964511;-0.3750958;;
3.521;1.95751;-0.4100668;;
3.522;1.95751;-0.4100668;;
3.522;1.95751;-0.4100668;;
3.524;1.95751;-0.4100668;;
3.543;1.950182;-0.4436091;;
3.544;1.950182;-0.4436091;;
3.545;1.950182;-0.4436091;;
3.547;1.950182;-0.4436091;;
3.566;1.940366;-0.4847461;;
3.567;1.940366;-0.4847461;;
3.568;1.940366;-0.4847461;;
3.568;1.940366;-0.4847461;;
3.587;1.933381;-0.5118955;;
3.588;1.933381;-0.5118955;;
3.588;1.933381;-0.5118955;;
3.589;1.933381;-0.5118955;;
3.608;1.924359;-0.544818;;
3.609;1.924241;-0.5452492;;
3.63;1.924241;-0.5452492;;
3.63;1.924241;-0.5452492;;
3.631;1.924241;-0.5452492;;
3.632;1.924241;-0.5452492;;
3.632;1.924241;-0.5452492;;
3.651;1.924241;-0.5452492;;
3.652;1.924241;-0.5452492;;
3.652;1.924241;-0.5452492;;
3.653;1.924241;-0.5452492;;
3.673;1.914329;-0.5790882;;
3.673;1.914329;-0.5790882;;
3.674;1.914329;-0.5790882;;
3.675;1.914329;-0.5790882;;
3.697;1.882448;-0.6755657;;
3.698;1.882448;-0.6755657;;
3.7171672;;;0.113489637486104;0.117558514756138
3.72;1.866898;-0.7173889;;
3.721;1.866691;-0.7179441;;
3.721;1.866651;-0.7180517;;
3.723;1.866538;-0.7183565;;
3.723;1.866538;-0.7183565;;
3.723;1.866538;-0.7183565;;
3.742;1.856586;-0.743692;;
3.786;1.828998;-0.8091589;;
3.787;1.82887;-0.8094619;;
3.808;1.814654;-0.8408425;;
3.809;1.814529;-0.8411179;;
3.831;1.799151;-0.8735219;;
3.832;1.799007;-0.873825;;
3.833;1.798978;-0.8738875;;
3.833;1.798978;-0.8738875;;
3.854;1.791852;-0.8884068;;
3.854;1.791852;-0.8884068;;
3.854;1.791852;-0.8884068;;
3.855;1.791852;-0.8884068;;
3.876;1.763863;-0.942732;;
3.877;1.763586;-0.9432697;;
3.878;1.763546;-0.9433475;;
3.898;1.751319;-0.9658541;;
3.899;1.751201;-0.9660702;;
3.899;1.751181;-0.9661072;;
3.9;1.751168;-0.966131;;
3.92;1.73395;-0.9967035;;
3.921;1.73395;-0.9967035;;
3.922;1.73395;-0.9967035;;
3.922;1.73395;-0.9967035;;
3.942;1.716577;-1.026327;;
3.942;1.716354;-1.026708;;
3.943;1.716354;-1.026708;;
3.965;1.698044;-1.056715;;
3.965;1.698044;-1.056715;;
3.966;1.698044;-1.056715;;
3.986;1.679102;-1.086562;;
3.986;1.679102;-1.086562;;
3.987;1.679102;-1.086562;;
4.008;1.669887;-1.10067;;
4.008;1.669841;-1.10074;;
4.009;1.669775;-1.100841;;
4.009;1.669775;-1.100841;;
4.01;1.669775;-1.100841;;
4.0129357;;;0.762703104025192;0.275427972992221
4.008;1.669887;-1.10067;;
4.008;1.669841;-1.10074;;
4.009;1.669775;-1.100841;;
4.009;1.669775;-1.100841;;
4.01;1.669775;-1.100841;;
4.03;1.635488;-1.151144;;
4.031;1.635164;-1.15162;;
4.032;1.635081;-1.151741;;
4.054;1.619968;-1.172901;;
4.055;1.619835;-1.173086;;
4.055;1.619813;-1.173118;;
4.075;1.599011;-1.201311;;
4.076;1.598755;-1.201658;;
4.077;1.598755;-1.201658;;
4.078;1.598755;-1.201658;;
4.097;1.57787;-1.228948;;
4.098;1.577653;-1.229231;;
4.098;1.577616;-1.229279;;
4.119;1.556033;-1.256482;;
4.12;1.555832;-1.256735;;
4.121;1.555791;-1.256787;;
4.121;1.555784;-1.256796;;
4.122;1.55578;-1.256801;;
4.142;1.533375;-1.284041;;
4.143;1.533375;-1.284041;;
4.143;1.533375;-1.284041;;
4.166;1.52237;-1.297069;;
4.167;1.522284;-1.29717;;
4.167;1.522247;-1.297213;;
4.168;1.522247;-1.297213;;
4.169;1.522247;-1.297213;;
4.195;1.482049;-1.342942;;
4.196;1.481732;-1.343303;;
4.197;1.481676;-1.343367;;
4.198;1.481667;-1.343377;;
4.209;1.463789;-1.362829;;
4.21;1.463481;-1.363165;;
4.231;1.439962;-1.387983;;
4.232;1.439678;-1.388283;;
4.233;1.439678;-1.388283;;
4.234;1.439678;-1.388283;;
4.254;1.415081;-1.413346;;
4.255;1.415081;-1.413346;;
4.256;1.415081;-1.413346;;
4.275;1.402769;-1.425565;;
4.276;1.392872;-1.435219;;
4.277;1.390654;-1.437381;;
4.277;1.390273;-1.437753;;
4.278;1.390057;-1.437964;;
4.297;1.364422;-1.462305;;
4.299;1.364092;-1.462619;;
4.309206;;;0.031675621764055;0.130808992613363
4.299;1.364092;-1.462619;;
4.32;1.351988;-1.473812;;
4.321;1.351818;-1.473969;;
4.322;1.351736;-1.474046;;
4.323;1.351702;-1.474076;;
4.324;1.351702;-1.474076;;
4.344;1.304815;-1.51572;;
4.345;1.304402;-1.516086;;
4.346;1.304273;-1.516201;;
4.346;1.304263;-1.51621;;
4.347;1.304229;-1.51624;;
4.366;1.285681;-1.531997;;
4.367;1.285509;-1.532144;;
4.368;1.285458;-1.532187;;
4.388;1.259153;-1.553872;;
4.389;1.258884;-1.554094;;
4.39;1.258842;-1.554129;;
4.39;1.258836;-1.554134;;
4.391;1.258826;-1.554142;;
4.41;1.231616;-1.575787;;
4.41;1.231446;-1.575923;;
4.433;1.203339;-1.597491;;
4.434;1.203339;-1.597491;;
4.434;1.203339;-1.597491;;
4.435;1.203339;-1.597491;;
4.435;1.203339;-1.597491;;
4.455;1.175411;-1.618145;;
4.456;1.175139;-1.618346;;
4.456;1.175093;-1.618381;;
4.457;1.175066;-1.6184;;
4.458;1.175058;-1.618406;;
4.478;1.160914;-1.628582;;
4.478;1.160914;-1.628582;;
4.479;1.160914;-1.628582;;
4.501;1.110481;-1.66338;;
4.501;1.110481;-1.66338;;
4.502;1.110481;-1.66338;;
4.502;1.110481;-1.66338;;
4.503;1.110481;-1.66338;;
4.523;1.088763;-1.677673;;
4.524;1.088575;-1.677797;;
4.525;1.088514;-1.677837;;
4.545;1.059199;-1.696491;;
4.546;1.058938;-1.696657;;
4.547;1.058858;-1.696708;;
4.547;1.05885;-1.696713;;
