circular (3)Cube6Timestamp;circular (3)Cube6XPos;circular (3)Cube6YPos;circular (3)Cube6newCorr;circular (3)Cube6smoothCorr
3.562;-1.344355;-1.480777;;
3.562;-1.341569;-1.483283;;
3.564;-1.332204;-1.491711;;
3.564;-1.33159;-1.492263;;
3.565;-1.330823;-1.492954;;
3.584;-1.317782;-1.504477;;
3.585;-1.308372;-1.512642;;
3.586;-1.305239;-1.515361;;
3.607;-1.278357;-1.538112;;
3.608;-1.278092;-1.538336;;
3.613;-1.278065;-1.538359;;
3.614;-1.278061;-1.538362;;
3.619;-1.278043;-1.538378;;
3.63;-1.25065;-1.560719;;
3.631;-1.250159;-1.56112;;
3.631;-1.250075;-1.561189;;
3.651;-1.223769;-1.581881;;
3.652;-1.223134;-1.58238;;
3.655;-1.222892;-1.582571;;
3.656;-1.222855;-1.5826;;
3.674;-1.195407;-1.603429;;
3.675;-1.195102;-1.603661;;
3.675;-1.19505;-1.6037;;
3.676;-1.195028;-1.603717;;
3.697;-1.167014;-1.624208;;
3.719;-1.13795;-1.644705;;
3.72;-1.137675;-1.644899;;
3.721;-1.137625;-1.644935;;
3.741;-1.109637;-1.66393;;
3.7634791;;;0.538463063863601;0.409771640483713
3.741;-1.109637;-1.66393;;
3.763;-1.080454;-1.68303;;
3.765;-1.080115;-1.683252;;
3.786;-1.050292;-1.702016;;
3.787;-1.050014;-1.702194;;
3.788;-1.049969;-1.702223;;
3.809;-1.02014;-1.720261;;
3.831;-0.9894699;-1.738084;;
3.833;-0.9891668;-1.73826;;
3.853;-0.9891275;-1.738283;;
3.875;-0.9594044;-1.754859;;
3.876;-0.9591698;-1.75499;;
3.876;-0.9591589;-1.754996;;
3.896;-0.9048177;-1.783608;;
3.898;-0.9042321;-1.783916;;
3.92;-0.8638747;-1.803801;;
3.921;-0.8634179;-1.804026;;
3.942;-0.8339583;-1.817829;;
3.943;-0.8336099;-1.817992;;
3.944;-0.8336099;-1.817992;;
3.964;-0.8174525;-1.825314;;
3.965;-0.8055193;-1.830596;;
3.986;-0.7858707;-1.839129;;
3.987;-0.7717326;-1.845097;;
