timestamp;selectionTime;selectedObject;selectedObjectSizeDegX;selectedObjectSizeDegY;intendedObject;intendedObjectSizeDegX;intendedObjectSizeDegY;correct?;trajectoryResemblanceX;trajectoryResemblanceY;distanceToIntendedObjDeg;trajectoryDiameterDeg;trajectoryCenterDeg;currentPosDeg;degPerSec;trajectoryExceedsFOV;counterThreshold;correlationThreshold;correlationAverageWindow;correlationFrequency;correlationWindow
193.5772339;4.2775719;1;11.38337;9.617372;1;11.38337;9.617372;True;1;1;0;13.92744;(-2.2, 9.9);(0.5, 16.1);76;False;15;0.6;900;0.08;300
209.1123472;12.5341322;2;8.387711;10.07395;2;8.387711;10.07395;True;1;1;0;13.92744;(-2.2, 9.9);(2.6, 14.8);76;False;15;0.6;900;0.08;300
221.4470695;9.3423626;21;10.38079;9.076338;21;10.38079;9.076338;True;1;1;0;15.43151;(6.1, -6.1);(11.4, -11.7);72;False;15;0.6;900;0.08;300
242.3978263;17.9501999;29;14.34573;12.72631;29;14.34573;12.72631;True;1;1;0;28.36585;(-4.7, 19.3);(6.3, 10.1);28;False;15;0.6;900;0.08;300
259.4335711;14.0391986;27;4.232879;6.637329;26;11.34253;10.81989;False;0.9994999;0.99739;16.93229;22.05337;(-14.2, 13.9);(-3.8, 18.8);28;False;15;0.6;900;0.08;300
263.5892287;1.153096;26;11.5248;11.19524;26;11.5248;11.19524;True;1;1;0;27.98841;(8.4, 24.3);(16.0, 13.2);56;False;15;0.6;900;0.08;300
276.7256143;10.1136659;16;11.43854;12.33016;25;12.7169;10.83155;False;0.9872082;0.9917786;0.1427689;17.52774;(-2.6, 0.0);(-6.2, 8.2);52;False;16;0.6;900;0.08;300
289.1660486;9.4383732;25;12.69143;10.89244;25;12.69143;10.89244;True;1;1;0;27.98841;(8.4, 24.3);(-4.4, 29.8);56;False;16;0.6;900;0.08;300
298.38419;6.2120693;31;15.35243;15.70721;31;15.35243;15.70721;True;1;1;0;40.63632;(1.3, 7.3);(-8.9, -11.5);40;False;16;0.6;900;0.08;300
306.5646559;5.1864261;7;10.50916;8.992138;10;15.20566;11.31526;False;0.9997007;0.9997336;7.798557;30.5409;(-10.2, 9.7);(-20.2, 21.0);44;False;16;0.6;900;0.08;300
320.2679517;10.7042426;10;14.52581;11.86521;10;14.52581;11.86521;True;1;1;0;22.6071;(-8.6, 1.7);(3.0, 2.5);34;False;16;0.6;900;0.08;300
329.9344275;6.6653973;35;9.925806;9.703161;35;9.925806;9.703161;True;1;1;0;36.19043;(-15.9, -5.0);(-9.7, 14.1);29;False;16;0.6;900;0.08;300
350.6390233;17.726599;18;8.600609;6.961142;18;8.600609;6.961142;True;1;1;0;15.32446;(-6.4, 0.1);(0.0, 4.6);56;False;16;0.6;900;0.08;300
