Timestamp;SelectionTime;aim;selection;correct?;smoothCorrelation;speedInDeg;widthInDeg;radiusInDeg;counterDifference;differenceAtSelection;pearsonThreshold;w;averageWindow;correlationFrequency
80.4352818;15.0786992;3;4;False;0.395312;8.938142;4.728926;42.36197;15;8;0.600000023841858;300;900;0.2
91.3134222;9.8519402;1;1;True;0.6234875;26.81442;4.697314;42.36197;15;17;0.600000023841858;300;900;0.2
97.1688345;4.8287103;4;4;True;0.930748;134.0721;4.660518;8.860662;15;15;0.600000023841858;300;900;0.2
106.8342752;8.6407435;1;1;True;0.9064888;44.69071;5.18574;26.17279;15;19;0.600000023841858;300;900;0.2
122.5245257;14.6685606;4;4;True;0.6155998;26.81442;5.728035;42.36197;15;20;0.600000023841858;300;900;0.2
138.2494429;14.7007207;3;3;True;0.6996536;8.938142;5.382942;42.36197;15;17;0.600000023841858;300;900;0.2
144.9114785;5.6353326;2;2;True;0.6963379;44.69071;4.870273;8.860662;15;15;0.600000023841858;300;900;0.2
153.5858334;7.6526652;2;2;True;0.9409328;224.5995;4.839245;8.860651;15;17;0.600000023841858;300;900;0.2
162.2537506;7.6417092;4;4;True;0.8222541;74.86649;5.228798;26.17278;15;16;0.600000023841858;300;900;0.2
168.7198151;5.4393552;3;3;True;0.61231;44.91989;4.817282;42.36197;15;16;0.600000023841858;300;900;0.2
177.5892173;7.8426929;4;4;True;0.9208416;26.81442;5.384844;42.36197;15;16;0.600000023841858;300;900;0.2
187.2517129;8.6362874;2;2;True;0.603759;74.86649;5.329688;26.17279;15;18;0.600000023841858;300;900;0.2
203.3697514;15.091831;2;2;True;-0.05141123;8.938142;5.109864;42.36197;15;14;0.600000023841858;300;900;0.2
208.6201039;4.2241452;3;2;False;0.7855669;14.8969;5.224648;26.17279;15;15;0.600000023841858;300;900;0.2
224.7256207;15.080311;4;4;True;0.5996385;14.8969;5.22561;26.17279;15;18;0.600000023841858;300;900;0.2
235.0143034;9.2619734;3;3;True;0.7274712;134.0721;4.789597;8.860651;15;17;0.600000023841858;300;900;0.2
244.6863319;8.6468148;2;2;True;0.754316;134.0721;4.799329;8.860662;15;16;0.600000023841858;300;900;0.2
249.5441497;3.8316097;1;1;True;0.942912;224.5995;4.776445;8.860651;15;15;0.600000023841858;300;900;0.2
265.662178;15.090818;2;2;True;0.5106505;44.69071;4.685761;8.860651;15;12;0.600000023841858;300;900;0.2
275.5482625;8.8593755;4;4;True;0.9800972;44.69071;5.447;26.17278;15;18;0.600000023841858;300;900;0.2
291.7012982;15.1268275;3;3;True;0.05487967;14.8969;4.653797;26.17278;15;10;0.600000023841858;300;900;0.2
301.5753547;8.8518593;1;1;True;0.7687376;44.91989;5.339535;42.36197;15;17;0.600000023841858;300;900;0.2
312.2956407;9.696585;4;4;True;0.6398372;44.91989;5.611963;42.36197;15;17;0.600000023841858;300;900;0.2
320.7745124;7.4516611;3;3;True;0.8070604;44.69071;5.440058;26.17279;15;18;0.600000023841858;300;900;0.2
329.4303514;7.629631;2;2;True;0.6986368;224.5995;4.851058;8.860662;15;15;0.600000023841858;300;900;0.2
340.7472114;10.2801243;4;4;True;0.8484258;74.86649;5.430988;26.17278;15;18;0.600000023841858;300;900;0.2
356.8848021;15.1118839;1;1;True;0.3135734;44.69071;4.713889;8.860662;15;14;0.600000023841858;300;900;0.2
