circCubeCube1Timestamp;circCubeCube1XPos;circCubeCube1YPos;circCubeCube1newCorr;circCubeCube1smoothCorr
0;;;0;0
3.252;-1.319827;-0.7127807;;
3.253;-1.319827;-0.7127807;;
3.254;-1.319827;-0.7127807;;
3.255;-1.319827;-0.7127807;;
3.275;-1.332254;-0.689274;;
3.276;-1.332254;-0.689274;;
3.276;-1.332254;-0.689274;;
3.277;-1.332254;-0.689274;;
3.297;-1.344037;-0.6660067;;
3.298;-1.344037;-0.6660067;;
3.299;-1.344037;-0.6660067;;
3.306;-1.344037;-0.6660067;;
3.319;-1.355296;-0.6427749;;
3.32;-1.355471;-0.6424138;;
3.321;-1.355504;-0.6423455;;
3.322;-1.35551;-0.6423344;;
3.342;-1.366439;-0.6187372;;
3.343;-1.366537;-0.6185266;;
3.344;-1.366564;-0.618467;;
3.345;-1.366572;-0.6184502;;
3.365;-1.377064;-0.5947145;;
3.366;-1.377162;-0.5944924;;
3.366;-1.377178;-0.5944571;;
3.367;-1.377193;-0.5944242;;
3.387;-1.387408;-0.5701746;;
3.389;-1.387408;-0.5701746;;
3.389;-1.387408;-0.5701746;;
3.39;-1.387408;-0.5701746;;
3.391;-1.387408;-0.5701746;;
3.411;-1.397116;-0.5459472;;
3.412;-1.39721;-0.5457127;;
3.412;-1.397226;-0.5456725;;
3.433;-1.406483;-0.521343;;
3.434;-1.406574;-0.5211018;;
3.436;-1.406591;-0.5210579;;
3.436;-1.406591;-0.5210579;;
3.436;-1.406591;-0.5210579;;
3.456;-1.415394;-0.496641;;
3.456;-1.415464;-0.496446;;
3.457;-1.415496;-0.4963578;;
3.477;-1.423909;-0.4716732;;
3.478;-1.423993;-0.4714259;;
3.479;-1.424014;-0.4713636;;
3.479;-1.424014;-0.4713636;;
3.499;-1.431988;-0.446544;;
3.5;-1.432058;-0.4463251;;
3.501;-1.43208;-0.4462566;;
3.502;-1.432087;-0.4462353;;
3.5083247;;;0.179220588281218;0.407729688054786
3.522;-1.439559;-0.4214985;;
3.522;-1.439589;-0.4214011;;
3.523;-1.439636;-0.4212458;;
3.524;-1.439649;-0.4212007;;
3.543;-1.446681;-0.3963642;;
3.544;-1.44675;-0.3961215;;
3.544;-1.44676;-0.3960847;;
3.545;-1.446773;-0.39604;;
3.564;-1.453457;-0.3707478;;
3.565;-1.453529;-0.370474;;
3.566;-1.453542;-0.3704275;;
3.567;-1.453544;-0.3704197;;
3.587;-1.459663;-0.3454976;;
3.587;-1.459673;-0.3454569;;
3.588;-1.459796;-0.3449556;;
3.589;-1.459814;-0.3448815;;
3.608;-1.462771;-0.3321114;;
3.609;-1.465217;-0.3211132;;
3.61;-1.465602;-0.319384;;
3.611;-1.465657;-0.3191355;;
3.631;-1.468389;-0.3063191;;
3.632;-1.470462;-0.2961591;;
3.632;-1.470818;-0.2944173;;
3.633;-1.47099;-0.2935731;;
3.652;-1.47352;-0.2806003;;
3.653;-1.473549;-0.280454;;
3.654;-1.475941;-0.2675762;;
3.655;-1.475941;-0.2675762;;
3.676;-1.478232;-0.2546145;;
3.677;-1.47969;-0.2459281;;
3.677;-1.479749;-0.2455765;;
3.678;-1.480264;-0.2425078;;
3.698;-1.482468;-0.2286609;;
3.699;-1.483804;-0.2197476;;
3.699;-1.483947;-0.2187978;;
3.7;-1.484251;-0.2167699;;
3.72;-1.486225;-0.2028061;;
3.721;-1.487368;-0.1941406;;
3.722;-1.487897;-0.1901301;;
3.723;-1.487981;-0.1894969;;
3.742;-1.489551;-0.1767358;;
3.742;-1.48956;-0.1766606;;
3.743;-1.490802;-0.16578;;
3.763;-1.492432;-0.1504794;;
3.763;-1.492442;-0.1503819;;
3.783;-1.494819;-0.1245322;;
3.784;-1.494848;-0.1242131;;
3.785;-1.494848;-0.1242131;;
3.793;-1.495871;-0.1112196;;
3.794;-1.495871;-0.1112196;;
3.795;-1.495871;-0.1112196;;
3.804;-1.497142;-0.09249974;;
3.805;-1.497168;-0.09211151;;
3.806;-1.497176;-0.09199905;;
3.806;-1.497176;-0.09199905;;
3.810127;;;0.0479795754616801;0.365437501807138
3.826;-1.498272;-0.07194706;;
3.826;-1.498281;-0.07178904;;
3.827;-1.498286;-0.07169489;;
3.848;-1.499324;-0.04503535;;
3.848;-1.499324;-0.04503535;;
3.849;-1.499324;-0.04503535;;
3.849;-1.499324;-0.04503535;;
3.869;-1.499874;-0.01925348;;
3.87;-1.499881;-0.0189313;;
3.871;-1.499881;-0.0189313;;
3.892;-1.49998;0.007118518;;
3.892;-1.499981;0.007205312;;
3.893;-1.499981;0.007392967;;
3.894;-1.499982;0.007423175;;
3.894;-1.499982;0.007435828;;
3.913;-1.49963;0.03331649;;
3.914;-1.49963;0.03331649;;
3.915;-1.49963;0.03331649;;
3.935;-1.498816;0.05951189;;
3.935;-1.498811;0.05966352;;
3.936;-1.498807;0.0598139;;
3.937;-1.498806;0.0598369;;
3.957;-1.497536;0.08588312;;
3.958;-1.497524;0.08613215;;
3.979;-1.495807;0.1120415;;
3.98;-1.49579;0.1122978;;
3.981;-1.495788;0.1123349;;
4.001;-1.493534;0.1390894;;
4.003;-1.493507;0.1394185;;
4.024;-1.490844;0.165478;;
4.024;-1.490844;0.165478;;
4.025;-1.490844;0.165478;;
4.026;-1.490844;0.165478;;
4.046;-1.487706;0.1916542;;
4.046;-1.487706;0.1916542;;
4.047;-1.487706;0.1916542;;
4.048;-1.487706;0.1916542;;
4.069;-1.484402;0.2156461;;
4.07;-1.484297;0.2164026;;
4.072;-1.484205;0.217075;;
4.074;-1.484126;0.2176438;;
4.091;-1.480084;0.2436202;;
4.092;-1.480084;0.2436202;;
4.093;-1.480084;0.2436202;;
4.093;-1.480084;0.2436202;;
4.112;-1.477887;0.256609;;
4.1124306;;;0.0573210873158997;0.162311407108197
4.112;-1.477887;0.256609;;
4.113;-1.475612;0.2693859;;
4.115;-1.475806;0.2682957;;
4.116;-1.475646;0.2691963;;
4.136;-1.470733;0.2948481;;
4.137;-1.470688;0.2950861;;
