horizontalCube1Timestamp;horizontalCube1XPos;horizontalCube1YPos;horizontalCube1newCorr;horizontalCube1smoothCorr
3.729;-2;0.7770326;;
3.7379349;;;0.438788779067909;0.116663303107166
3.727;-2;0.7770326;;
3.728;-2;0.7770326;;
3.728;-2;0.7770326;;
3.729;-2;0.7770326;;
3.749;-2;0.7313936;;
3.75;-2;0.7313936;;
3.752;-2;0.7313936;;
3.753;-2;0.7313936;;
3.773;-2;0.6882313;;
3.774;-2;0.6877852;;
3.775;-2;0.6877191;;
3.776;-2;0.6877031;;
3.776;-2;0.6877003;;
3.795;-2;0.6438364;;
3.796;-2;0.6432142;;
3.797;-2;0.6428056;;
3.819;-2;0.5984861;;
3.82;-2;0.5980653;;
3.821;-2;0.5980016;;
3.822;-2;0.597992;;
3.842;-2;0.5544186;;
3.843;-2;0.5539845;;
3.843;-2;0.553911;;
3.844;-2;0.5538772;;
3.845;-2;0.5538726;;
3.865;-2;0.5323292;;
3.866;-2;0.52192;;
3.868;-2;0.5005372;;
3.869;-2;0.497717;;
3.888;-2;0.4648296;;
3.889;-2;0.464479;;
3.89;-2;0.4644224;;
3.89;-2;0.4644161;;
3.91;-2;0.420229;;
3.911;-2;0.4196791;;
3.911;-2;0.4196791;;
3.932;-2;0.3758903;;
3.933;-2;0.3754994;;
3.934;-2;0.3753965;;
3.934;-2;0.37538;;
3.954;-2;0.3306882;;
3.955;-2;0.3298537;;
3.956;-2;0.3291655;;
3.957;-2;0.3290628;;
3.976;-2;0.2875028;;
3.977;-2;0.2863744;;
3.979;-2;0.2853177;;
3.98;-2;0.2853177;;
3.999;-2;0.2403293;;
4;-2;0.2398366;;
4.001;-2;0.2397669;;
4.001;-2;0.239755;;
4.022;-2;0.2186269;;
4.023;-2;0.2182049;;
4.024;-2;0.1895004;;
4.026;-2;0.1827473;;
4.0392354;;;-0.432018103039567;0.110560341157901
4.05;-2;0.1513665;;
4.051;-2;0.1511037;;
4.052;-2;0.151039;;
4.053;-2;0.151039;;
4.065;-2;0.1087194;;
4.066;-2;0.1080084;;
4.067;-2;0.1078922;;
4.067;-2;0.107882;;
4.087;-2;0.06261958;;
4.088;-2;0.06220876;;
4.089;-2;0.0620895;;
4.11;-2;0.01725043;;
4.111;-2;0.01681305;;
4.112;-2;0.01674507;;
4.112;-2;0.0167346;;
4.113;-2;0.01672253;;
4.132;-2;-0.0269113;;
