timestamp;selectedObject;intendedObject;1;2;3;4;5;6;7;8;9;10
28.0612396;0;0;15;0;10;0;0;2;0;0;0
38.2620241;10;10;0;0;0;15;3;0;0;0;0;8
48.3395806;3;3;0;15;0;0;0;0;0;0;0;0
54.6177476;2;17;15;0;0;3;0;0;0;0;0;0
60.1208491;21;17;0;3;0;0;11;0;0;0;15;0
69.3704082;17;17;11;15;0;0;16;0;0;0;0;5
84.4374036;19;19;5;2;0;0;0;16;0;0;5;0
91.5999085;18;18;0;0;0;0;16;2;0;0;0;0
104.7246704;26;26;0;0;0;0;0;2;0;0;15;3
118.1529445;11;11;2;14;0;3;0;4;5;1;0;0
154.6198937;27;27;9;0;0;12;4;0;0;14;0;0
161.4986537;16;16;0;0;14;2;8;0;0;6;0;0
167.8675147;4;4;14;0;0;0;5;0;0;4;0;0
188.53134;31;31;0;0;6;0;0;0;2;14;0;1
194.4935355;29;29;0;0;1;0;0;14;3;0;0;5
221.6503358;22;-1;0;0;14;0;7;0;0;0;0;1
