timestamp;selectionTime;selectedObject;selectedObjectSizeDegX;selectedObjectSizeDegY;intendedObject;intendedObjectSizeDegX;intendedObjectSizeDegY;correct?;trajectoryResemblanceX;trajectoryResemblanceY;distanceToIntendedObjDeg;trajectoryDiameterDeg;trajectoryCenterDeg;currentPosDeg;degPerSec;trajectoryExceedsFOV;counterThreshold;correlationThreshold;correlationAverageWindow;correlationFrequency;correlationWindow
38.955457;19.3100394;0;6.161864;5.362439;0;6.161864;5.362439;True;1;1;0;25.84411;(-5.3, -0.6);(6.5, -6.9);26;False;15;0.6;900;0.08;300
45.9249531;3.98558;15;10.24067;6.077446;15;10.24067;6.077446;True;1;1;0;30.63141;(16.6, -7.5);(30.4, -3.8);56;True;15;0.6;900;0.08;300
68.5734678;19.6656017;14;9.685176;8.277386;3;21.07866;18.20729;False;0.999855;-0.8782422;32.63153;30.63141;(16.6, -7.5);(20.3, -23.4);56;True;15;0.6;900;0.08;300
75.0744275;3.5007188;3;20.27987;17.99868;3;20.27987;17.99868;True;1;1;0;34.48962;(-10.2, -7.0);(-7.4, 11.7);28;False;20;0.6;900;0.08;300
105.1401669;27.06528;18;10.20299;10.66999;18;10.20299;10.66999;True;1;1;0;8.58394;(3.9, -4.9);(3.5, -9.4);59;False;20;0.6;900;0.08;300
114.3430801;6.1994459;13;9.482314;7.651326;13;9.482314;7.651326;True;1;1;0;30.63141;(16.6, -7.5);(0.3, -10.4);56;True;19;0.6;900;0.08;300
127.4287033;10.090769;22;10.75494;12.62269;22;10.75494;12.62269;True;1;1;0;21.77528;(-5.5, 2.6);(-4.2, 13.9);58;False;19;0.6;900;0.08;300
134.7977069;4.3695465;19;7.477356;9.070785;19;7.477356;9.070785;True;1;1;0;26.68;(18.5, -11.5);(30.5, -7.8);89;True;18;0.6;900;0.08;300
156.3824675;18.592823;5;21.35519;23.96283;5;21.35519;23.96283;True;1;1;0;34.48962;(-10.2, -7.0);(6.4, 0.6);28;False;18;0.6;900;0.08;300
182.7898208;23.4091133;25;14.9142;13.34372;25;14.9142;13.34372;True;1;1;0;12.70194;(9.3, 5.4);(14.8, 2.3);74;False;17;0.6;900;0.08;300
198.5837404;12.7984726;21;12.35361;12.70563;21;12.35361;12.70563;True;1;1;0;14.00587;(9.2, 7.9);(14.5, 12.6);82;False;17;0.6;900;0.08;300
