timestamp;selectedObject;intendedObject;1;2;3;4;5;6;7;8;9;10
93.1682813;0;0;15;8;0;0;0
97.9752524;5;5;0;0;0;15;0;0;0
103.7738836;10;10;3;0;0;15;6;0;0;0;0;0
112.3845335;1;15;15;0;0;0;13;0;0;0;0;6
116.7891237;15;15;0;0;0;15;0;0;5;0;0;0
125.2408244;23;4;0;0;6;1;8;4;0;15;1;0
133.1861573;4;4;0;15;0;0;7;0;1;0;10;0
153.8959277;26;26;0;2;0;3;0;4;0;0;15;4
161.2331221;25;25;2;0;0;0;0;0;0;15;0;0
168.5727238;21;21;0;4;0;0;13;11;0;4;0;0
179.6608116;11;11;0;13;0;0;0;0;0;2;7;0
187.0156958;3;3;13;0;0;3;0;0;0;4;0;0
205.5106603;27;27;0;0;0;2;13;5;8;1;1;3
229.6295978;33;33;3;0;0;7;4;0;0;0;13;4
235.7766056;22;30;0;0;13;0;0;1;0;0;0;3
245.6785843;30;30;0;11;0;0;14;4;0;2;5;0
254.6931417;19;19;14;6;11;0;0;1;0;1;0;0
285.3193308;37;-1;12;2;0;0;0;0;11;1;14;0
