timestamp;radius;velocity;walking
64.9102246;2.5;0.39;True
81.0143376;0.5;1.96;True
86.4774742;2.5;0.39;True
102.5731143;1.5;1.17;True
112.0446655;1.5;1.17;True
120.7015936;2.5;0.39;True
136.8303799;0.5;1.17;True
152.9491346;0.5;1.96;True
169.0558556;0.5;1.17;True
185.1510392;1.5;0.39;True
201.2697747;0.5;0.39;True
217.3313583;2.5;1.96;True
229.8204704;1.5;1.96;True
238.9466668;1.5;1.96;True
247.2406566;0.5;1.96;True
257.4772987;2.5;1.96;True
269.1606492;0.5;0.39;True
285.3250294;1.5;0.39;True
301.4402733;2.5;1.96;True
308.9143289;1.5;1.96;True
315.7607005;1.5;1.17;True
324.6229815;2.5;1.17;True
330.9008276;1.5;0.39;True
347.0301083;0.5;0.39;True
363.0596224;0.5;1.17;True
376.0484769;2.5;1.17;True
392.2003187;2.5;1.17;True
