80.9982949;1;0;2;4;0;
86.4604284;15;0;0;0;0;
102.5520582;0;0;2;6;1;
112.0241109;0;0;0;15;0;
120.683044;0;0;16;1;0;
136.809324;1;0;2;0;3;
152.9270756;2;0;13;0;0;
169.0388095;6;0;5;10;5;
185.1370015;0;11;3;0;0;
201.2527294;0;1;1;0;0;
217.313812;0;0;0;0;0;
229.7974096;0;0;3;17;4;
238.9256109;16;4;0;0;0;
247.2140858;0;0;16;4;0;
257.4607536;17;8;0;0;0;
269.1420993;0;0;16;2;0;
285.307482;0;0;1;0;0;
301.4232269;0;0;3;3;0;
308.8947767;16;2;0;0;0;
315.7476654;0;15;0;0;0;
324.6074405;15;0;0;0;0;
330.8812748;16;2;0;0;0;
347.0085509;0;0;0;2;0;
363.0450834;0;0;0;1;0;
376.0334357;16;4;0;0;0;
392.1787608;0;0;0;13;4;
401.9193992;16;4;0;0;0;
