verticalCube2Timestamp;verticalCube2XPos;verticalCube2YPos;verticalCube2newCorr;verticalCube2smoothCorr
0;;;0;0
0.4296336;;;0;0
0.7304276;;;0;0
1.032288;;;0;0
1.3330817;;;0;0
1.6343765;;;0;0
1.936174;;;0;0
2.238471;;;0;0
2.268;0.5520552;-3;;
2.288;0.4969163;-3;;
2.331;0.3812859;-3;;
2.353;0.3375151;-3;;
2.375;0.2833427;-3;;
2.376;0.2829027;-3;;
2.396;0.2297566;-3;;
2.397;0.2292693;-3;;
2.416;0.2031287;-3;;
2.418;0.1787349;-3;;
2.44;0.1230296;-3;;
2.441;0.1224998;-3;;
2.47;0.06900304;-3;;
2.471;0.06840264;-3;;
2.484;0.02511692;-3;;
2.486;-0.003185527;-3;;
2.507;-0.03838066;-3;;
2.509;-0.03865255;-3;;
2.529;-0.09220929;-3;;
2.531;-0.09286448;-3;;
2.5392642;;;-0.348016695686604;-0.116005565228868
2.551;-0.1447508;-3;;
2.552;-0.1452746;-3;;
2.574;-0.1984392;-3;;
2.574;-0.1990556;-3;;
2.595;-0.2259057;-3;;
2.596;-0.2478307;-3;;
2.618;-0.304924;-3;;
2.619;-0.3060057;-3;;
2.641;-0.3333563;-3;;
2.642;-0.3333563;-3;;
2.662;-0.4112612;-3;;
2.664;-0.4132055;-3;;
2.684;-0.4667228;-3;;
2.685;-0.4672817;-3;;
2.706;-0.4934529;-3;;
2.707;-0.493766;-3;;
2.708;-0.5206285;-3;;
2.708;-0.5206285;-3;;
2.727;-0.5475228;-3;;
2.728;-0.5475228;-3;;
2.729;-0.5475228;-3;;
2.749;-0.6007873;-3;;
2.75;-0.6014692;-3;;
2.75;-0.6014692;-3;;
2.751;-0.6014692;-3;;
2.752;-0.6014692;-3;;
2.77;-0.654397;-3;;
2.77;-0.654646;-3;;
2.791;-0.7068888;-3;;
2.792;-0.7077021;-3;;
2.793;-0.7080224;-3;;
2.812;-0.7734622;-3;;
2.812;-0.7743373;-3;;
2.813;-0.7743373;-3;;
2.814;-0.7743373;-3;;
2.838;-0.8153497;-3;;
2.84;-0.8156699;-3;;
2.841;-0.8157243;-3;;
2.842;-0.8157731;-3;;
2.842565;;;0.46088819304794;0.0376238324537786
2.856;-0.8733592;-3;;
2.856;-0.8733592;-3;;
2.857;-0.8733592;-3;;
2.858;-0.8733592;-3;;
2.878;-0.9234143;-3;;
2.879;-0.9234143;-3;;
2.88;-0.9234143;-3;;
2.88;-0.9234143;-3;;
2.899;-0.9764742;-3;;
2.9;-0.977157;-3;;
2.901;-0.977157;-3;;
2.902;-0.977157;-3;;
2.921;-1.030762;-3;;
2.922;-1.030762;-3;;
2.923;-1.030762;-3;;
2.924;-1.030762;-3;;
2.943;-1.083174;-3;;
2.944;-1.083733;-3;;
2.945;-1.083824;-3;;
2.945;-1.083863;-3;;
2.965;-1.148405;-3;;
2.966;-1.148405;-3;;
2.967;-1.148405;-3;;
2.968;-1.148405;-3;;
2.988;-1.191392;-3;;
2.989;-1.191392;-3;;
2.989;-1.191392;-3;;
2.99;-1.191392;-3;;
3.01;-1.245229;-3;;
3.01;-1.245229;-3;;
3.011;-1.245229;-3;;
3.012;-1.245229;-3;;
3.031;-1.271512;-3;;
3.032;-1.291925;-3;;
3.053;-1.325228;-3;;
3.054;-1.346566;-3;;
3.054;-1.350236;-3;;
3.055;-1.352315;-3;;
3.074;-1.379694;-3;;
