timestamp;radius;size;depth
4.5871407;0.5;0.65;16
39.3657646;2.5;0.65;6
42.8279278;0.5;0.9;16
45.1500736;1.5;0.3;6
47.7078631;1.5;0.3;16
50.209985;1.5;0.65;16
52.7231365;2.5;0.3;2
54.8572949;0.5;0.3;16
57.0676452;2.5;0.3;16
60.1748685;1.5;0.9;2
63.0997945;0.5;0.9;2
66.2275662;1.5;0.9;16
68.4720122;0.5;0.3;2
71.5797472;0.5;0.65;6
74.4714005;2.5;0.3;6
77.3189379;2.5;0.9;2
79.6095092;1.5;0.65;6
82.2550115;0.5;0.3;6
85.0193277;2.5;0.9;6
87.3941394;1.5;0.3;2
90.4883285;1.5;0.65;2
93.0461004;2.5;0.9;16
95.8836446;2.5;0.65;16
98.6314171;0.5;0.65;2
101.1552444;0.5;0.9;6
104.1603155;2.5;0.65;2
106.7521753;1.5;0.9;6
